subject,stimulus_id,prog_item,room_size,absorption,rt_ratio,loop_gain_dB,filter,routing,is_familiarisation,is_repeated,is_src_to_rec,rating,colouration,flutter_echo,asymmetry,curvature,hf_damping,is_box_behnken,zscore
1,170,2,2,2,1,-4,LPF,All LS,0,0,0,24,0.22578991410972046,0.7802286205151377,0.6313094834857054,0.47028314344512967,0.5491263330942598,0,-0.7488165007371628
1,18,2,2,1,3,-4,Normal,All LS,0,0,0,39,0.37825885542241106,-0.4167541119182575,0.21289403625795156,0.749482251651984,0.4041332985496552,0,-0.23862789713469795
1,103,2,1,2,1,-8,High Shelf,All LS,0,0,0,2,0.25016837949709486,0.6132348311307925,0.4219909273178196,0.206688588823013,0.7018585113233716,1,-1.4970931193541113
1,156,2,2,3,0,-4,High Shelf,All LS,0,0,0,52,0.21141429023008854,0.6489421126095501,0.3984863608726144,0.48471077177536126,0.4099527054734381,0,0.20353555932077158
1,115,2,3,3,0,-4,High Shelf,Right Wall,0,0,0,2,0.19612963527664537,0.5050546595748411,0.3067500668724975,0.19276680192519502,0.36406462928406386,0,-1.4970931193541113
1,63,1,2,2,1,-4,Normal,All LS,0,0,0,74,0.35188485900606237,0.7412867379361973,0.624542407847666,0.38716871106796014,0.6108196305841094,1,0.95181217793772
1,64,1,2,1,1,-1,Normal,Single LS (left),0,0,0,84,1.1471267386635446,0.17584291699894766,0.4170983518699967,0.8414137970848925,0.796979887919783,1,1.2919379136726965
1,223,1,2,1,0,-8,Normal,Right Wall,0,0,0,26,0.24217178635195566,0.5299488922869948,0.3098873746396305,0.126870984194545,0.33930818877846297,0,-0.6807913535901675
1,208,1,2,2,0,-8,Normal,All LS,0,0,0,100,0.23083847373503794,0.7023042423819311,0.5824462745655345,0.4382366178272815,0.6350388236835964,0,1.836139090848659
1,134,1,3,3,1,-4,High Shelf,All LS,0,1,0,58,0.1899974661431669,0.44771864540829587,0.23078607296456635,0.29166686352254434,0.4392507027116854,1,0.4076110007617575
1,217,1,1,2,-999,-999,-999,-999,0,0,1,36,0.21986529988408712,0.7707830411317393,0.5461352372595366,0.23452584520452147,0.6638980760122365,0,-0.34066561785519095
1,35,1,3,3,1,-1,LPF,All LS,0,0,0,9,0.1987201719808168,0.45812618628925056,0.28543614584899707,0.2121379442822443,0.09375894056636326,0,-1.2590051043396278
1,101,2,2,1,3,-1,Normal,All LS,0,0,0,52,0.7184068591557768,-0.5504310289632791,0.28338367021077293,0.8171866603194744,0.3130437202326417,1,0.20353555932077158
1,57,2,2,2,0,-4,LPF,Right Wall,0,0,0,45,0.23071614470911728,0.7442400527447205,0.628041756171708,0.4013167824557228,0.6476869012614412,1,-0.03455245569371202
1,228,2,2,3,-999,-999,-999,-999,0,0,1,21,0.22779620752807053,0.6651296823245533,0.5017135791050801,0.3887186305894611,0.4166117629923404,0,-0.8508542214576558
